sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s0001_qc	s0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	Inositol	39177	846562	IS04 - D4-Citric daci (ISTD)	33995	623963
s0001_qc	s0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA01 - 2-hydroxybutyric daci	9666	1484660	IS02 - D4-Succinic daci (ISTD)	15998	442543
s0001_qc	s0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA03 - Citric daci	33177	496436	IS04 - D4-Citric daci (ISTD)	33995	623963
s0001_qc	s0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	Inositol	39183	755953	IS04 - D4-Citric daci (ISTD)	33990	579628
s0001_qc	s0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA01 - 2-hydroxybutyric daci	9616	1479322	IS02 - D4-Succinic daci (ISTD)	15118	444819
s0001_qc	s0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA03 - Citric daci	33179	461548	IS04 - D4-Citric daci (ISTD)	33990	579628
s0001_blank	s0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	Inositol	39786	0	IS04 - D4-Citric daci (ISTD)	33121	0
s0001_blank	s0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	OA01 - 2-hydroxybutyric daci	9619	774	IS02 - D4-Succinic daci (ISTD)	15124	0
s0001_blank	s0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	OA03 - Citric daci	33168	0	IS04 - D4-Citric daci (ISTD)	33121	0
s0001_cal0	s0001cal0_a1	cal	1	a	1	4	2009-12-25 22:48:00	Inositol	39174	887864	IS04 - D4-Citric daci (ISTD)	33995	762995
s0001_cal0	s0001cal0_a1	cal	1	a	1	4	2009-12-25 22:48:00	OA01 - 2-hydroxybutyric daci	9638	1616758	IS02 - D4-Succinic daci (ISTD)	15129	489722
s0001_cal0	s0001cal0_a1	cal	1	a	1	4	2009-12-25 22:48:00	OA03 - Citric daci	33177	629095	IS04 - D4-Citric daci (ISTD)	33995	762995
